,prob
0_CCL2_CCR1_6,0.7221441
0_CCL2_CCR10_0,0.7317805
0_CCL2_CCR10_1,0.6466925
0_CCL2_CCR10_2,0.64669853
0_CCL2_CCR10_3,0.71954656
0_CCL2_CCR10_4,0.7051096
0_CCL2_CCR10_5,0.7028413
0_CCL2_CCR10_6,0.61379105
0_CCL2_CCR3_0,0.5374716
0_CCL2_CCR3_1,0.52484435
0_CCL2_CCR3_2,0.524845
0_CCL2_CCR3_3,0.53160864
0_CCL2_CCR3_4,0.56391436
0_CCL2_CCR3_5,0.5117306
0_CCL2_CCR3_6,0.5216914
0_COL1A1_CD93_0,0.79558396
0_COL1A1_CD93_1,0.6651017
0_COL1A1_CD93_2,0.66510755
0_COL1A1_CD93_3,0.78695107
0_COL1A1_CD93_4,0.74352723
0_COL1A1_CD93_5,0.7899465
0_COL1A1_CD93_6,0.63632315
0_COL1A1_DDR2_0,0.6930736
0_COL1A1_DDR2_1,0.5522167
0_COL1A1_DDR2_2,0.55222225
0_COL1A1_DDR2_3,0.70279604
0_COL1A1_DDR2_4,0.6633502
0_COL1A1_DDR2_5,0.6827132
0_COL1A1_DDR2_6,0.524101
0_COL1A1_ITGA11_0,0.56264144
0_COL1A1_ITGA11_1,0.534271
0_COL1A1_ITGA11_2,0.5342716
0_COL1A1_ITGA11_3,0.56870174
0_COL1A1_ITGA11_4,0.57296216
0_COL1A1_ITGA11_5,0.5484899
0_COL1A1_ITGA11_6,0.5306962
0_COL1A1_ITGA2_0,0.7935569
0_COL1A1_ITGA2_1,0.6849684
0_COL1A1_ITGA2_2,0.68497413
0_COL1A1_ITGA2_3,0.8047015
0_COL1A1_ITGA2_4,0.75191736
0_COL1A1_ITGA2_5,0.7763903
0_COL1A1_ITGA2_6,0.65713423
0_COL1A1_CD36_0,0.80510396
0_COL1A1_CD36_1,0.6934609
0_COL1A1_CD36_2,0.69346684
0_COL1A1_CD36_3,0.8039239
0_COL1A1_CD36_4,0.75506324
0_COL1A1_CD36_5,0.78675556
0_COL1A1_CD36_6,0.66108704
0_COL1A1_DDR1_0,0.7933872
0_COL1A1_DDR1_1,0.6516055
0_COL1A1_DDR1_2,0.65161085
0_COL1A1_DDR1_3,0.7976468
0_COL1A1_DDR1_4,0.7256642
0_COL1A1_DDR1_5,0.7826324
0_COL1A1_DDR1_6,0.6238711
0_EFNB3_RHBDL2_0,0.59261054
0_EFNB3_RHBDL2_1,0.5559509
0_EFNB3_RHBDL2_2,0.55595165
0_EFNB3_RHBDL2_3,0.5882532
0_EFNB3_RHBDL2_4,0.6007754
0_EFNB3_RHBDL2_5,0.5815973
0_EFNB3_RHBDL2_6,0.5524318
0_EFNB3_EPHA4_0,0.52861995
0_EFNB3_EPHA4_1,0.5208416
0_EFNB3_EPHA4_2,0.5208422
0_EFNB3_EPHA4_3,0.5233152
0_EFNB3_EPHA4_4,0.5592876
0_EFNB3_EPHA4_5,0.49201903
0_EFNB3_EPHA4_6,0.5173088
0_EFNB3_EPHB2_0,0.5198115
0_EFNB3_EPHB2_1,0.5151679
0_EFNB3_EPHB2_2,0.51516837
0_EFNB3_EPHB2_3,0.514468
0_EFNB3_EPHB2_4,0.5529713
0_EFNB3_EPHB2_5,0.4817175
0_EFNB3_EPHB2_6,0.5116504
0_EFNB3_EPHB6_0,0.51899236
0_EFNB3_EPHB6_1,0.51560205
0_EFNB3_EPHB6_2,0.5156026
0_EFNB3_EPHB6_3,0.5136263
0_EFNB3_EPHB6_4,0.5536301
0_EFNB3_EPHB6_5,0.48061362
0_EFNB3_EPHB6_6,0.51207995
0_VTN_ITGB5_0,0.5982334
0_VTN_ITGB5_1,0.574425
0_VTN_ITGB5_2,0.574431
0_VTN_ITGB5_3,0.6418055
0_VTN_ITGB5_4,0.60859287
0_VTN_ITGB5_5,0.57406634
0_VTN_ITGB5_6,0.5427657
0_VTN_ITGA8_0,0.53136563
0_VTN_ITGA8_1,0.520294
0_VTN_ITGA8_2,0.5202945
0_VTN_ITGA8_3,0.52155155
0_VTN_ITGA8_4,0.5577323
0_VTN_ITGA8_5,0.50204706
0_VTN_ITGA8_6,0.5160911
0_VTN_CD47_0,0.75975704
0_VTN_CD47_1,0.73936266
0_VTN_CD47_2,0.7393682
0_VTN_CD47_3,0.79401416
0_VTN_CD47_4,0.7751015
0_VTN_CD47_5,0.7391155
0_VTN_CD47_6,0.7058098
0_VTN_KDR_0,0.5228402
0_VTN_KDR_1,0.5165116
0_VTN_KDR_2,0.5165121
0_VTN_KDR_3,0.51765245
0_VTN_KDR_4,0.5546405
0_VTN_KDR_5,0.47181678
0_VTN_KDR_6,0.51298296
0_VTN_ITGA2B_0,0.51350594
0_VTN_ITGA2B_1,0.51134104
0_VTN_ITGA2B_2,0.5113416
0_VTN_ITGA2B_3,0.5080995
0_VTN_ITGA2B_4,0.5488095
0_VTN_ITGA2B_5,0.473377
0_VTN_ITGA2B_6,0.50782645
0_VTN_TNFRSF11B_0,0.54196644
0_VTN_TNFRSF11B_1,0.5245773
0_VTN_TNFRSF11B_2,0.52457803
0_VTN_TNFRSF11B_3,0.53552675
0_VTN_TNFRSF11B_4,0.56274754
0_VTN_TNFRSF11B_5,0.52217036
0_VTN_TNFRSF11B_6,0.52132696
0_VTN_ITGB8_0,0.57081366
0_VTN_ITGB8_1,0.5439369
0_VTN_ITGB8_2,0.5439375
0_VTN_ITGB8_3,0.56609064
0_VTN_ITGB8_4,0.5834258
0_VTN_ITGB8_5,0.55717975
0_VTN_ITGB8_6,0.54009926
0_VTN_ITGB6_0,0.5103681
0_VTN_ITGB6_1,0.50957435
0_VTN_ITGB6_2,0.50957483
0_VTN_ITGB6_3,0.50493544
0_VTN_ITGB6_4,0.5469124
0_VTN_ITGB6_5,0.46699324
0_VTN_ITGB6_6,0.5060627
0_VTN_ITGB3_0,0.5705646
0_VTN_ITGB3_1,0.540447
0_VTN_ITGB3_2,0.5404476
0_VTN_ITGB3_3,0.60018855
0_VTN_ITGB3_4,0.5816001
0_VTN_ITGB3_5,0.5433913
0_VTN_ITGB3_6,0.53623104
0_VTN_ITGA3_0,0.6067942
0_VTN_ITGA3_1,0.5823176
0_VTN_ITGA3_2,0.58232355
0_VTN_ITGA3_3,0.65335184
0_VTN_ITGA3_4,0.6300817
0_VTN_ITGA3_5,0.5705356
0_VTN_ITGA3_6,0.5509085
0_CXCL6_CXCR2_0,0.53896207
0_CXCL6_CXCR2_1,0.52899176
0_CXCL6_CXCR2_2,0.52899235
